
Instance;Number of Rows;Number of Columns;Number of Nonzeros;Density (%)
Dual2_5000;30000600;33050602;93001800;9.3796E-06
L1_sixm1000obs;3082940;1426256;14262560;0.000324366
L1_sixm250obs;986069;428032;4280320;0.001014128
L2CTA3D;210000;10000000;30000000;0.001428571
Linf_520c;93326;69004;566193;0.008791998
Primal2_1000;1299380;2559380;5498140;0.000165327
a2864;22117;200787;20078717;0.45214127
bdry2;376500;250998;1500003;0.001587292
cont1;160792;40398;399990;0.006157789
cont11;160792;80396;399990;0.003094213
datt256_lp;11077;262144;1503732;0.051785523
degme;185501;659415;8127528;0.006644364
dlr1;1735470;9142907;18365107;0.000115742
dlr2;7132926;38868107;78091589;2.81672E-05
ex10;69608;17680;1162000;0.094420156
fhnw-binschedule1;772872;1141653;8611326;0.000975952
fome13;48568;97840;285056;0.005998788
graph40-40_lp;360900;102600;1260900;0.00340523
irish-electricity;104259;61728;523257;0.008130538
neos-3025225_lp;91572;69846;9357951;0.146310848
neos-5052403-cygnet;38268;32868;4898304;0.389436534
neos-5251015_lp;486531;136971;1955388;0.002934228
neos;479119;36786;1047675;0.005944299
neos3;512209;6624;1542816;0.045472267
ns1687037;50622;43749;1406739;0.063519358
ns1688926;32768;16587;1712128;0.315005727
nug08-3rd;19728;20448;139008;0.034459256
pds-100;156243;505360;1086785;0.001376392
physiciansched3-3;266227;79555;1062479;0.0050165
qap15;6330;22275;94950;0.067340067
rail02_to_lp;95791;270869;756228;0.002914531
rail4284;4284;1092610;11279748;0.240982089
rmine15_lp;358395;42438;879732;0.00578407
s100;14733;364417;1777917;0.033114764
s250r10;10962;273142;1318607;0.044038964
s82_lp;87878;1690631;7022608;0.004726824
savsched1;295989;328575;1770507;0.001820487
scpm1_lp;5000;500000;6250000;0.25
set-cover-model;10000;1102008;20442268;0.185500178
shs1023_to_lp;133944;444625;1044725;0.001754223
square41;40160;62234;13566426;0.542805239
stat96v2;29089;957432;2852184;0.010240963
stormG2_1000;528185;1259121;3341696;0.000502474
stp3d_to_lp;159488;204880;662128;0.00202635
supportcase10_to_lp;165684;14770;555082;0.022682769
thk_48;6366377;8609262;27802878;5.07261E-05
thk_63;5694387;7701112;21592414;0.000049238
tpl-tub-ws1617_lp;1154615;747601;4720567;0.000546874
woodlands09;194599;382147;2646003;0.003558109
